Refined_Formal_Name,Original-QID,Second-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Arte dei Salumieri,,,Group,[Category Fix] 威尼斯行会（咸肉商）。,,,No results found
Artist's position in society (Concept),,,Concept,[Validation] 艺术理论议题。,,,No results found
Arts Graphiques de la Cité (AGRACI),,,Organization,[Validation] 巴黎摄影/出版机构。,,,No results found
Augustinian Monastery Altarpiece,,,Work,[Validation] 祭坛画。,,,No results found
Aurelio Rezzonico,,,Person,[Validation] 威尼斯贵族 (教皇克莱门特十三世家族)。,,,No results found
Baglioni Collection,,,Organization/Group,[Validation] 艺术收藏。,,,No results found
Barberini Chapel (Sant'Andrea della Valle),,,Place,[OCR Fix] 标点和空格修复。 | [Validation] 罗马礼拜堂。,,,No results found
Barberini Library,,,Organization,[Validation] 巴贝里尼图书馆。,,,No results found
Basilica of Santa Sabina,,,Place,[Validation] 罗马教堂。,,,No results found
Batteria di Cucina,,,Work,"[OCR Fix] 修正 ""Battaria"" 为 ""Batteria"" (Kitchen utensils/Still life)。",,,No results found
Beggar holding a Rosary,,,Work,[Validation] 画作主题 (可能是Ceruti或Il Pitocchetto)。,,,No results found
Bell Towers for St. Peter's Basilica,,,Work,[Validation] 贝尼尼设计的钟楼 (已拆除)。,,,No results found
Bergamasque Community,,,Group,[Category Fix] 原文误标为 Place。贝加莫人群体。,,,No results found
Bibliothèque de Montpellier,,,Place,,,,No results found
Bishop Harold von Hocheim Investiture,,,Work,[Validation] 提埃坡罗壁画 (维尔茨堡)。,,,No results found
Bonfiglioli Collection,,,Organization/Group,[Validation] 博洛尼亚艺术收藏。,,,No results found
Bonisezio Gozzadini,,,Person,[Validation] 博洛尼亚历史人物。,,,No results found
Brutus killing Arruns,,,Work,[Validation] 绘画主题。,,,No results found
Bust of Francis Bacon,,,Work,[Validation] 雕塑 (Roubiliac等)。,,,No results found
Bust of Paolo Renier,,,Work,[Validation] 雕塑。,,,No results found
Bust of Phocion,,,Work,[Validation] 雕塑主题。,,,No results found
Camillo Carandini,,,Person,[Validation] 贵族。,,,No results found
Campagna (Countryside) / Girolamo Campagna,,,Place/Person,"[Ambiguity] ""Campagna"" 通常指罗马郊区 (Roman Campagna)，但也可能是威尼斯雕塑家 Girolamo Campagna。需视上下文。若在 Place 列，则为地名。",,,No results found
Capricci Copiosi di Figure,,,Work,"[OCR Fix] ""Caprizi"" -> ""Capricci""。",,,No results found
Cardinal Mazarin in His Gallery,,,Work,[Validation] 绘画主题。,,,No results found
Caricature of Cassiano dal Pozzo,,,Work,[Validation] 绘画/素描。,,,No results found
Carlo Baccinelli,,,Person,[Validation] 人物。,,,No results found
Carlo Camillo II Massimi,,,Person,著名的红衣主教与艺术赞助人（普桑、洛兰赞助者）。,,,No results found
Carlo Cordellina,,,Person,[Validation] 威尼斯律师/别墅主人 (Villa Cordellina)。,,,No results found
Carlo Quarismini,,,Person,[Validation] 威尼斯画家 (较小众)。,,,No results found
Carro della Notte,,,Work,[Validation] 绘画主题 (Guercino等)。,,,No results found
Caterina Barbarigo,,,Person,[Reconstruction] 威尼斯贵族。,,,No results found
Ceiling Frescoes (Palazzo Altieri),,,Work,[Validation] 马拉塔/Coli/Gherardi作品。,,,No results found
Ceiling Frescoes (Quirinal Palace),,,Work,[Validation] 奎里纳尔宫壁画。,,,No results found
Ceiling fresco (Augustinian Church),,,Work,[Validation] 可能是帕多瓦 Eremitani 或其他。,,,No results found
Ceiling of Palazzo Doria Pamphilj,,,Work,[Validation] 壁画。,,,No results found
Ceremonies of the Grand Duke,,,Work/Event,[Validation] 托斯卡纳大公典礼记录/画作。,,,No results found
Chapel of St. Lawrence,,,Place,[Validation] 礼拜堂。,,,No results found
Chapel of St. Stanislaus Kostka,,,Place,[Validation] 罗马Sant'Andrea al Quirinale礼拜堂。,,,No results found
Chapels of Santa Maria Maggiore,,,Place,[Validation] 罗马教堂礼拜堂。,,,No results found
"Charles Gordon-Lennox, 3rd Duke of Richmond",,,Person,"[Disambiguation] 18th c. ""Lord March"" (Earl of March) 通常指查尔斯·戈登-伦诺克斯，著名的艺术赞助人和大游学者。",,,No results found
Charles I of England / Charles II?,,,Person,[Ambiguity] 可能是查理一世或二世，或 Prince Charles Edward Stuart。待定。,,,No results found
Charles-François de Saint-Saulieu,,,Person,"[OCR Fix] ""Fran ois"" -> ""François""。",,,No results found
"Christian Louis I, Duke of Mecklenburg-Schwerin",,,Person,[Disambiguation] 梅克伦堡公爵。,,,No results found
Church of San Sebastiano (Venice),,,Place,[Validation] 威尼斯教堂 (Veronese)。,,,No results found
Churches of Religious Orders,,,Place,[Validation] 通用概念。,,,No results found
Cincinnatus Summoned from the Plough,,,Work,[Validation] 绘画主题。,,,No results found
Cincinnatus summoned from the Plough,,,Work,[Validation] 绘画主题。,,,No results found
Coggio Pittoni,,,Person,[OCR Fix] 同上。,,,No results found
Coggio Pittoni (Artist?),,,Person,"[Check Original] 可能是 ""Giovanni Battista Pittoni"" 的 OCR 乱码或极生僻人物。疑似 ""Cugino Pittoni"" (Pittoni 的表亲) 或误拼。待定。",,,No results found
Collegio di Siena,,,Place,[Validation] 锡耶纳学院。,,,No results found
Congregazione dei Virtuosi al Pantheon,,,Group,[Category Fix] 万神殿艺术家协会。 | [Validation] 罗马艺术家行会。,,,No results found
Consiglio del Consorzio,,,Organization,[Validation] 机构/委员会。,,,No results found
Conte Carpegna,,,Person,[Validation] 卡佩尼亚伯爵。,,,No results found
Conte Cavazza,,,Person,[Validation] 博洛尼亚/威尼斯贵族。,,,No results found
Copy of Annibale Carracci's Works,,,Work,[Validation] 复制品。,,,No results found
Copy of Raphael's Loggias,,,Work,[Validation] 复制品。,,,No results found
Cornelius de Stael,,,Person,,,,No results found
Count Waldstein,,,Person,瓦尔德施泰因家族成员。,,,No results found
Count of Monterrey,,,Person,西班牙贵族/那不勒斯总督。,,,No results found
Couvent des Augustins Déchaussés,,,Place,[Validation] 巴黎修道院 (Petits-Pères)。,,,No results found
Cremonese School,,,Group,[Validation] 克雷莫纳画派。,,,No results found
Creusa imploring Aeneas,,,Work,[Validation] 绘画主题。,,,No results found
Cristoforo Tencalla,,,Person,提契诺壁画家。,,,No results found
Customs duty on pictures,,,Concept,[Validation] 经济/法律概念。,,,No results found
Dance of Nymphs,,,Work,[Validation] 绘画主题。,,,No results found
Daniele Dolfin III,,,Person,[Validation] 威尼斯大使。,,,No results found
Daniele Dolfin IV,Q3014934,,Person,[Validation] 威尼斯贵族/大使。 | [Validation] 威尼斯贵族。,,,No results found
Death of Regulus,,,Work,[Category Fix] Salvator Rosa 的画作。,,,No results found
Death of St. Francis Xavier,,,Work,[Validation] 绘画主题。,,,No results found
Decorations for St. Augustine Church,,,Work,[Validation] 装饰工程。,,,No results found
Dedicatory Frontispiece,,,Work,[Validation] 书籍/版画卷首插图。,,,No results found
Design for Sant'Andrea al Quirinale,,,Work,[Validation] 建筑设计图。,,,No results found
Design for St. Peter's Square,,,Work,[Validation] 贝尼尼设计图。,,,No results found
Devolution of Urbino to the Papacy,,,Event,1631年乌尔比诺归入教皇国事件。,,,No results found
Diffusion of Neapolitan painting,,,Concept,[Category Fix] 艺术史研究主题。,,,No results found
Divine Virtues,,,Work,[Validation] 绘画/雕塑主题。,,,No results found
Dome Frescoes (Sant'Agnese in Agone),,,Work,[Validation] 罗马教堂壁画 (Ciro Ferri/Corrado Giaquinto?)。实际上是 Ciro Ferri 和 Baciccio 参与。,,,No results found
Domenico Darmanno,,,Person,"[Check Original] 极生僻。可能是 ""Domenico D'Arminio""? 或者误拼。待定。",,,No results found
Domenico Lionati da Fanano,,,Person,"[OCR Fix/Reconstruction] 极可能是 ""Domenico Lionati"" 或 ""Lelonotti"" (罕见)。Fanano 是地名。",,,No results found
Domenico Pompeati,,,Person,,,,No results found
Domenico da Isnello,,,Person,[Validation] 建筑师/工程师。,,,No results found
Drawings of Sagredo Family Members,,,Work,[Validation] 素描集。,,,No results found
Dream of St Joseph,,,Work,[Validation] 绘画主题。,,,No results found
Duchess of Bagnara,,,Person,[Validation] 贵族头衔 (Ruffo家族)。,,,No results found
Duchess of Savoy,,,Person,泛指，需语境（如 Anne Marie d'Orléans）。,,,No results found
Duplex Intercessio,,,Work/Concept,[Validation] 双重代祷 (绘画神学主题)。,,,No results found
Dutch artists,,,Group,[Validation] 艺术家群体。,,,No results found
Edoardo Lombardo,,,Person,[Validation] 现代学者 (威尼斯史)。,,,No results found
Eleonora Zambeccari,,,Person,[Category Fix] 原文误标为 Man-Made Object。博洛尼亚贵族。 | [Validation] 博洛尼亚贵族。,,,No results found
Elisa Carandini,,,Person,[Category Fix] 原文误标为 Work。,,,No results found
Elisabetta Antoniazzi Rossi,,,Person,"[OCR Fix] ""Elizabetta"" -> ""Elisabetta""。学者。",,,No results found
Emperor Henry IV Kneeling Before Pope Gregory VII,Q19898046,,Work,[Validation] 绘画主题 (Canossa)。,,,No results found
Enea Arnaldi / Lodovico Arnaldi?,,,Person,"[Check] 可能是 ""Enea Arnaldi"" (维琴察学者) 或 ""Lodovico Arnaldi"" (贵族)。待定为 Lodovico Arnaldi。",,,No results found
Enea Silvio Caprara,,,Person,[Disambiguation] 奥地利元帅。 | [Disambiguation] 奥地利陆军元帅 (Enea Silvio Caprara)。,,,No results found
English patronage,,,Concept,[Validation] 艺术赞助。,,,No results found
Entrance of Procurator Giorgio Pisani,,,Place,"[OCR Fix] ""nell＊ingresso"" -> ""nell'ingresso""。指代具体位置或该处的装饰/铭文。",,,No results found
Entry of the Count of Colloredo,,,Work,[Validation] 卡纳莱托画作。,,,No results found
Estella Brunetti,,,Person,[Validation] 艺术史学家。,,,No results found
Etchings of Oriental-style Heads,,,Work,[Validation] Castiglione 或 Tiepolo 作品。,,,No results found
European scientific societies,,,Group/Concept,[Category Fix] 原文误标为 Place。,,,No results found
Exhibition of S. Rocco,,,Event,[Category Fix] 威尼斯圣罗格大会堂的年度画展。,,,No results found
Fabio de Fabiis,,,Person,[Validation] 罗马人物。,,,No results found
Facade of Santa Maria del Giglio,,,Work,[Validation] 威尼斯教堂立面 (Giuseppe Sardi)。,,,No results found
Faith crushing Idolatry,,,Work,[Validation] 雕塑/绘画主题 (Theodon等)。,,,No results found
Fame Carrying the Name of Louis XIV...,,,Work,[Validation] 绘画主题 (Le Brun等)。,,,No results found
Fame inscribing the glories of Louis XIV...,,,Work,[Validation] 绘画主题。,,,No results found
Fantastical Heads in the Manner of Giorgione,,,Work,[Validation] 画作/版画描述 (Pietro della Vecchia等)。,,,No results found
Faustina Savorgnan,,,Person,[Validation] 威尼斯贵族。,,,No results found
Federico Correr Lorenzetti,,,Person,"[Validation] 威尼斯贵族/收藏家? 需核实。可能是误将 ""Correr"" 和 ""Lorenzetti"" (Giulio Lorenzetti, 学者) 混合，或特定人物。",,,No results found
Flemish artists in Rome,,,Group,[Validation] 艺术家群体 (Bentvueghels等)。,,,No results found
Flight of Aeneas from Troy,,,Work,[Validation] 绘画主题。,,,No results found
Fondamenta Foscarini,,,Place,[Validation] 威尼斯街道。,,,No results found
Fortune under the control of Virtue,,,Work,[Validation] 绘画主题。,,,No results found
"Fortune under the control of Virtue, Justice and Peace",,,Work,[Validation] 绘画主题。,,,No results found
Francesco Catalano,,,Person,[Category Fix] 原文误标为 Place。,,,No results found
Francesco Girolamo Nappi,,,Person,(P.可能是Padre/Frate) 17世纪神职人员/作家，或画家。,,,No results found
Francesco Griseri,,,Person,[Validation] 建筑师/人物。,,,No results found
Francesco Mengardi,,,Person,[OCR Fix/Typo] 原文标为地点且拼写疑似有误，应为画家 Francesco Mengardi。,,,No results found
Francesco Panciatichi,,,Person,[Category Fix] 原文误标为 Place。佛罗伦萨参议员。 | [Validation] 佛罗伦萨政治家/国务秘书。,,,No results found
Francesco Rosichino,,,Person,[Disambiguation] 17世纪罗马礼仪官 (Master of Ceremonies)。,,,No results found
Francesco Scaramuccia,,,Person,[Validation] 罗马/佩鲁贾画家/传记作者 (Luigi Scaramuccia之父?)。通常传记作者是 Luigi Scaramuccia。需确认原文是否指 Luigi 或其父。如果是 17世纪，Luigi 更出名。,,,No results found
French hostility to Italian art (17th c.),,,Concept,[Validation] 艺术史议题。,,,No results found
French patronage,,,Concept,[Validation] 艺术赞助。,,,No results found
Fresco on staircase of Hampton Court Palace,,,Work,[Validation] Verrio/Laguerre壁画。,,,No results found
Frescoes in Lanfranco Chapel (Modena Cathedral),,,Work,"[Correction] Lanfranco 是摩德纳大教堂的建筑师。可能是指 ""Frescoes in the Lanfranco Chapel"" 或 ""Frescoes by Lanfranco"" (Giovanni Lanfranco)。结合上下文 ""Frescoes in..."", 可能是地点。但 Lanfranco 也是画家。需确认。如果指 Lanfranco (画家) 在 Naples Cathedral 的壁画，则为 Work。如果指 Modena Cathedral (Arch. Lanfranco)，则为 Place/Work。倾向于 Giovanni Lanfranco 的壁画作品。",,,No results found
Frescoes in Sant'Andrea della Valle,,,Work,[Validation] Domenichino/Lanfranco 壁画。,,,No results found
Frescoes in the Corsini Chapel,,,Work,[Validation] 罗马 Lateran 或佛罗伦萨 Carmine。,,,No results found
Frescoes in the Palazzo Doria Pamphilj (Valmontone),,,Work,[Validation] Preti/Mola 壁画。,,,No results found
Gabriele Balestrieri,,,Person,[Validation] 帕尔马画家 (或相关人物)。,,,No results found
Gabriele Emo / Giovanni Emo,,,Person,[Disambiguation] 威尼斯行政官。最著名的是 Gabriele Emo 或 Giovanni Emo。保留泛指或标记需确认。,,,No results found
Gaetano Majorano (Caffarelli),,,Person,[Disambiguation] 阉伶歌手 Caffarelli。,,,No results found
Galleria Giustiniani,,,Work/Place,[Context] 可能是指 Giustiniani 收藏目录 (Work) 或宫殿画廊 (Place)。,,,No results found
Galleria L'Antonina,,,Place,[Validation] 罗马古董店/画廊。,,,No results found
Gallery of the Aeneid (Palazzo Buonaccorsi),,,Place,[Validation] 马切拉塔的埃涅阿斯画廊。,,,No results found
"Gaspar de Haro, 7th Marquess of Carpio",,,Person,[Category Fix] 原文误标为 Work。西班牙总督/收藏家。,,,No results found
Gaspare Partridge,,,Person,[Check Original] 可能是 English artist in Italy? 或 Joseph Partridge? 待定。,,,No results found
Gaspare Patriarch,,,Person,[Category Fix] 原文误标为 Man-Made Object。可能是 Gaspare Patriarchi (误拼) 或 Patriarch Gaspare (头衔倒置)。,,,No results found
Gasparo Altieri,,,Person,[Reconstruction] 名字倒装复原。,,,No results found
"George ""Dadie"" Rylands",,,Person,[Validation] 英国戏剧导演/学者 (Cambridge)。,,,No results found
Gerard van der Bos,,,Person,[Validation] 可能是指 Gerard van den Bossche? 或类似拼写。,,,No results found
German patronage,,,Concept,[Validation] 艺术赞助。,,,No results found
Gesuati (Order) / Santa Maria del Rosario (Gesuati),,,Group/Place,[Ambiguity] 可能是耶稣会修士会 (已解散) 或威尼斯 Gesuati 教堂。在 E74 Group 中指修会。,,,No results found
Gherardo Sagredo,,,Person,威尼斯贵族（Sagredo 家族）。,,,No results found
Giacomo della Lena,,,Person,[Validation] 威尼斯外交官/作家 (西班牙宫廷)。,,,No results found
Giambattista Biffi,,,Person,[Reconstruction] 18世纪克雷莫纳作家。 | [Validation] 克雷莫纳作家。,,,No results found
Giovanelli Collection,,,Organization/Group,[Category Fix] 原文误标为 Man-Made Object。,,,No results found
Giovanni Andrea Armanni,,,Person,[Full Name] 19世纪教皇国官员/学者 (Gubbio)。,,,No results found
Giovanni Angelo da Camerino,,,Person,[Validation] 画家。,,,No results found
Giovanni Antonio Armanni,,,Person,[Validation] 历史人物。,,,No results found
Giovanni Battista Fontanella,,,Person,[Validation] 人物 (可能是威尼斯人)。,,,No results found
Giovanni Domenico Brustoloni,,,Person,[Reconstruction] 威尼斯版画家 (无需 Don)。,,,No results found
Giovanni Francesco Sacchetti,,,Person,[Category Fix] 原文误标为 Place。,,,No results found
Giovanni Gasparo Baldoini,,,Person,[Full Name] 建筑师/工程师。 | [Reconstruction] 名字倒装复原。,,,No results found
Giovanni Stefano Roccatagliata,,,Person,[Validation] 17世纪热那亚银匠/雕塑家? 需确认。,,,No results found
Giovanni de' Cattanei,,,Person,[Check Original] 可能是 Giovanni Cattaneo (雕刻家) 或 Giovanni de' Cattanei (建筑师)。,,,No results found
Girolamo Garganego,,,Person,[Validation] 维罗纳/威尼斯雕塑家? 或是 Girolamo Garganico? 需确认。Garganego 可能是威尼斯贵族。,,,No results found
Girolamo Teodoli,,,Person,[Category Fix] 原文误标为 Man-Made Object。侯爵/建筑师。,,,No results found
Giulia Maidalchini,,,Person,[Ambiguous] 可能是误指 Olimpia Maidalchini 或 Pamphilj 家族其他女性。,,,No results found
Giuliano Colonna (Prince of Stigliano),,,Person,[Validation] 贵族。,,,No results found
Giuliano Vacchelli,,,Person,,,,No results found
Giulio della Greca,,,Person,[Validation] 可能是版画家/画家 (较小众)。,,,No results found
Giuseppe Angelo Maria Carron (Marquis of Aigueblanche),,,Person,[Validation] 萨伏伊外交官。,,,No results found
Giuseppe Antonio Lotti,,,Person,[Validation] 18世纪佛罗伦萨人物? 需区分 Antonio Lotti (作曲家)。,,,No results found
Giuseppe Chiari / Tommaso Chiari,,,Person,[Split Required] 兄弟/父子画家。Giuseppe Chiari 是主要人物。,,,No results found
Giuseppe Fochessati,,,Person,[Validation] 曼图亚艺术写作者 (Gonzaga)。,,,No results found
Giuseppe Lorenzo Moncallero,,,Person,[Validation] 历史学家。,,,No results found
Giuseppe Toninotto,,,Person,[Validation] 18世纪威尼斯出版商?。,,,No results found
Giuseppe de Rosis,,,Person,,,,No results found
Gloria Chiarini de Anna,,,Person,[Validation] 现代学者。,,,No results found
Glorification of the Pisani Family,,,Work,[Validation] 提埃坡罗壁画 (Villa Pisani)。,,,No results found
Glory of Venice,,,Concept/Work,[Validation] 展览标题或概念 (Gory of Venice: Art in the Eighteenth Century)。,,,No results found
God creating the Angels / Parnassus,,,Work,[Validation] 拉斐尔签字厅壁画 (The Parnassus 和天顶画)。,,,No results found
Gordon Albion,,,Person,[Validation] 历史学家。,,,No results found
Gran Tempio Antico,,,Work,[Validation] 可能是画作标题 (The Great Ancient Temple) 或描述。,,,No results found
Grassi Collection,,,Organization/Group,[Validation] 艺术收藏。,,,No results found
Great Witley Church (St Michael and All Angels),,,Place,"[OCR Fix] ""Great WitleyWatson"" -> ""Great Witley"" (Watson可能是作者名误粘)。",,,No results found
Guidalocti Franchini,,,Person,"[Check Original] 极生僻。可能是 ""Guidalotti Franchini""? 待定。",,,No results found
Habsburg Collections (Prague),,,Organization/Group,[Validation] 鲁道夫二世收藏。,,,No results found
Habsburg Patronage,,,Concept,[Validation] 艺术赞助。,,,No results found
Hans Albrecht von Derschau?,,,Person,"[Check] ""Joachim von Derschau"" 可能是指普鲁士收藏家 Hans Albrecht von Derschau? 或者 Joachim von Sandrart 的亲戚? 搜索指向 19世纪收藏家 Hans Albrecht von Derschau。",,,No results found
Hebrew Women singing after crossing the Red Sea,,,Work,[Validation] 绘画主题。,,,No results found
Heroes approaching the Temple of Immortality,,,Work,[Validation] 绘画主题。,,,No results found
Hilda Finberg,,,Person,[Validation] 艺术史学家 (Canaletto)。,,,No results found
Historic e di Maniera Veneziana,,,Concept,[Validation] 艺术风格描述 (History painting in Venetian manner)。,,,No results found
Hugues-Humbert Servien,,,Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。Servien 家族成员，克莱门特九世的侍从。",,,No results found
"Illustration for ""Newtonianismo per le dame""",,,Work,[Category Fix] 阿尔加罗蒂著作的封面插图。,,,No results found
Illustrations for De Bello Belgico,,,Work,[Validation] Famiano Strada 书籍的插图。,,,No results found
Illustrations for Latin Poems,,,Work,[Validation] 可能是 Barberini 的诗集插图。,,,No results found
Images of Palladian Architecture,,,Work,[Validation] 可能是书籍或版画集。,,,No results found
Imago Primi Saeculi Societatis Jesu,,,Work,[Validation] 耶稣会书籍。,,,No results found
Indecency in art,,,Concept,[Validation] 艺术史议题。,,,No results found
Influence of late 17th-century wars on art patronage,,,Concept,[Category Fix] 历史/艺术史概念。,,,No results found
Interior of Sant'Andrea al Quirinale,,,Work,[Validation] 画作/版画主题 (Panini等)。,,,No results found
Jacopo Pedozzi,,,Person,[Validation] 灰泥艺术家 (18世纪)。,,,No results found
Jacques Duyvelant,,,Person,[Reconstruction] 佛兰芒画家。 | [Validation] 17世纪佛兰芒画家 (Antwerp)。,,,No results found
Jacques Tubeuf,,,Person,[Validation] 收藏家 (Poussin赞助人)。,,,No results found
Jesuit Archives,,,Place/Organization,[Validation] 档案机构。,,,No results found
Johann Adalbert Veith,,,Person,波希米亚/奥地利画家。,,,No results found
"Johann Georg III, Elector of Saxony",,,Person,[Validation] 萨克森选帝侯。,,,No results found
"Johann Wilhelm, Elector Palatinate",,,Person,[Disambiguation] 普法尔茨选帝侯。 | [Validation] 同上。,,,No results found
John Breval,,,Person,[Reconstruction] 英国作家/旅行家。,,,No results found
Joint caricature of Simonelli and Mola,,,Work,[Validation] 讽刺画。,,,No results found
"Juan de Tassis y Peralta, 2nd Count of Villamediana",,,Person,[Full Name] 西班牙诗人/外交官。,,,No results found
"Juno, Goddess of Air",,,Work/Person,[Validation] 寓意画主题。,,,No results found
Jupiter among the Corybantes,,,Work,[Validation] 绘画主题。,,,No results found
Jupiter giving Suck,,,Work,[Validation] 绘画主题 (可能是 Jupiter Suckled by the Goat Amalthea 的误读或变体)。,,,No results found
Jupiter handed over by Cybele to the Corybantes,,,Work,[Validation] 绘画主题。,,,No results found
Jupiter sending down his Thunderbolts,,,Work,[Validation] 绘画主题 (Giulio Romano等)。,,,No results found
Justinus (Historian) / Justin Martyr,,,Person,[Ambiguity] 可能是历史学家查士丁或殉道者查士丁。,,,No results found
King Solomon Bathing,,,Work,"[Validation] 绘画主题 (可能指 Bathsheba?) 需确认。Solomon usually doesn't bathe in art. Maybe ""Bathsheba bathing""? or ""Susanna""?",,,No results found
King's College Library,,,Place,[Validation] 图书馆。,,,No results found
L'Inondazione del Tevere,,,Work,[Validation] 画作标题。,,,No results found
L'Osservatore Veneto,,,Work,[Category Fix] 报刊名（Gozzi 等人创办）。,,,No results found
"La Beata Vergine in Egitto, e S. Giuseppe",,,Work,[Validation] 绘画主题。,,,No results found
La Burla del Piovano Arlotto,,,Work,[Validation] 画作标题 (Volterrano/Giovanni da San Giovanni)。,,,No results found
La Chiesa di Gesù Cristo vendicata...,,,Work,[Validation] 书籍标题。,,,No results found
La Galleria di Minerva,,,Work,"[OCR Fix] ""Minervat VI"" -> ""Minerva, t. VI"" (期刊/丛书)。",,,No results found
La rissa all'Ambasciata di Spagna,,,Work,[Validation] 绘画主题 (The Brawl at the Spanish Embassy)。,,,No results found
Labia Collection,,,Organization/Group,[Category Fix] 原文误标为 Man-Made Object。,,,No results found
Le Arti che vanno per via nella città di Venezia,,,Work,[Validation] Zompini 版画集 (Venetian Cries)。,,,No results found
Le Fabbriche e Vedute di Venetia,,,Work,[Validation] Carlevarijs 版画集。,,,No results found
Leonardo Pasqueti,,,Person,[Validation] 人物。,,,No results found
Leonardo Pasquetti,,,Person,,,,No results found
