Refined_Formal_Name,Original-QID,Second-Query_QID,Third-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic,Third-Query_Label,Third-Query_Description,Third-Query_Logic
Archbishop of Tarsus,,Q2394645,,Person,[Category Fix] 原文误标为 Man-Made Object。可能是指某一具体领衔主教（如 Ferdinando d'Adda）。,Bishop of Tarsus,Wikipedia Search Result,Smart Match via 'Archbishop of Tarsus': Bishop of Tarsus (88.9),,,
Archivio Comunale di Treviso,,,,Place,[Validation] 特雷维索市政档案馆。,,,No results found,,,
Archivio Mediceo del Principato,,,,Place,[Validation] 美第奇家族档案。,,,No results found,,,
Archivio del Governatorato di Roma,,,Q102786,Place/Organization,[Abbreviation] 罗马总督府档案馆。,,,No results found,abbreviation,shortened form of a word or phrase,Deep Match via 'Abbreviation' (From Notes): abbreviation (Score: 95.0)
Archivio della Compagnia di Gesù,,,,Place/Organization,[OCR Fix] 单词粘连修复。,,,No results found,,,
Archivio di Stato di Venezia (Sezione Notarile),,,,Organization,[Category Fix] | [Category Fix] 威尼斯国家档案馆公证处。,,,No results found,,,
Archivio di Stato di Venezia (Stampe),,,,Organization,[Category Fix] 版画/印刷品部门。,,,No results found,,,
Ariadne being woken by Love,,,Q316,Work,[Validation] 绘画主题。,,,No results found,love,"strong, positive emotion based on affection",Deep Match via 'Love' (Segment): love (Score: 80.0)
Art patronage in 17th-century Munich,,,,Concept,[Category Fix] 艺术赞助研究主题。,,,No results found,,,
Arte dei Salumieri,,,,Group,[Category Fix] 威尼斯行会（咸肉商）。,,,No results found,,,
Artist's position in society (Concept),,,,Concept,[Validation] 艺术理论议题。,,,No results found,,,
Arts Graphiques de la Cité (AGRACI),,,,Organization,[Validation] 巴黎摄影/出版机构。,,,No results found,,,
Augustinian Monastery Altarpiece,,,,Work,[Validation] 祭坛画。,,,No results found,,,
Aurelio Rezzonico,,Q656690,,Person,[Validation] 威尼斯贵族 (教皇克莱门特十三世家族)。,Carlo Rezzonico (cardinal),Wikipedia Search Result,Smart Match via 'Aurelio Rezzonico': Carlo Rezzonico (cardinal) (87.5),,,
Baglioni Collection,,,,Organization/Group,[Validation] 艺术收藏。,,,No results found,,,
Barberini Chapel (Sant'Andrea della Valle),,Q1631593,,Place,[OCR Fix] 标点和空格修复。 | [Validation] 罗马礼拜堂。,Sant'Andrea della Valle,Wikipedia Search Result,Smart Match via 'Barberini Chapel (Sant'Andrea della Valle)': Sant'Andrea della Valle (70.8),,,
Barberini Library,,Q807815,,Organization,[Validation] 巴贝里尼图书馆。,Barberini family,Wikipedia Search Result,Smart Match via 'Barberini Library': Barberini family (72.7),,,
Basilica of Santa Sabina,,,,Place,[Validation] 罗马教堂。,,,No results found,,,
Batteria di Cucina,,,Q28538025,Work,"[OCR Fix] 修正 ""Battaria"" 为 ""Batteria"" (Kitchen utensils/Still life)。",,,No results found,Kitchen Utensils,painting by Leslie Hunter,Deep Match via 'Kitchen utensils' (From Notes): Kitchen Utensils (Score: 105.0)
Beggar holding a Rosary,,,Q37441770,Work,[Validation] 画作主题 (可能是Ceruti或Il Pitocchetto)。,,,No results found,Ceruti,family name,Deep Match via 'Ceruti' (From Notes): Ceruti (Score: 95.0)
Bell Towers for St. Peter's Basilica,,Q12512,,Work,[Validation] 贝尼尼设计的钟楼 (已拆除)。,St. Peter's Basilica,Wikipedia Search Result,Smart Match via 'Bell Towers for St. Peter's Basilica': St. Peter's Basilica (71.4),,,
Bergamasque Community,,,Q7200212,Group,[Category Fix] 原文误标为 Place。贝加莫人群体。,,,No results found,Place,family name,Deep Match via 'Place' (From Notes): Place (Score: 95.0)
Bibliothèque de Montpellier,,,,Place,,,,No results found,,,
Bishop Harold von Hocheim Investiture,,,,Work,[Validation] 提埃坡罗壁画 (维尔茨堡)。,,,No results found,,,
Bonfiglioli Collection,,,,Organization/Group,[Validation] 博洛尼亚艺术收藏。,,,No results found,,,
Bonisezio Gozzadini,,,,Person,[Validation] 博洛尼亚历史人物。,,,No results found,,,
Brutus killing Arruns,,,,Work,[Validation] 绘画主题。,,,No results found,,,
Bust of Francis Bacon,,,Q88245811,Work,[Validation] 雕塑 (Roubiliac等)。,,,No results found,Roubiliac,family name,Deep Match via 'Roubiliac' (From Notes): Roubiliac (Score: 95.0)
Bust of Paolo Renier,,,,Work,[Validation] 雕塑。,,,No results found,,,
Bust of Phocion,,,,Work,[Validation] 雕塑主题。,,,No results found,,,
Camillo Carandini,,,,Person,[Validation] 贵族。,,,No results found,,,
Campagna (Countryside) / Girolamo Campagna,,,Q1140419,Place/Person,"[Ambiguity] ""Campagna"" 通常指罗马郊区 (Roman Campagna)，但也可能是威尼斯雕塑家 Girolamo Campagna。需视上下文。若在 Place 列，则为地名。",,,No results found,ambiguity,type of uncertainty of meaning in which several interpretations are plausible,Deep Match via 'Ambiguity' (From Notes): ambiguity (Score: 95.0)
Capricci Copiosi di Figure,,,Q2278308,Work,"[OCR Fix] ""Caprizi"" -> ""Capricci""。",,,No results found,capriccio,architectural fantasy in painting,Deep Match via 'Capricci' (From Notes): capriccio (Score: 99.4)
Cardinal Mazarin in His Gallery,,,,Work,[Validation] 绘画主题。,,,No results found,,,
Caricature of Cassiano dal Pozzo,,,,Work,[Validation] 绘画/素描。,,,No results found,,,
Carlo Baccinelli,,,,Person,[Validation] 人物。,,,No results found,,,
Carlo Camillo II Massimi,,,,Person,著名的红衣主教与艺术赞助人（普桑、洛兰赞助者）。,,,No results found,,,
Carlo Cordellina,,,Q1298763,Person,[Validation] 威尼斯律师/别墅主人 (Villa Cordellina)。,,,No results found,Villa Cordellina Lombardi,villa,Deep Match via 'Villa Cordellina' (From Notes): Villa Cordellina Lombardi (Score: 74.1)
Carlo Quarismini,,,,Person,[Validation] 威尼斯画家 (较小众)。,,,No results found,,,
Carro della Notte,,,Q334262,Work,[Validation] 绘画主题 (Guercino等)。,,,No results found,Guercino,painter of the Italian 17th century (1591–1666),Deep Match via 'Guercino' (From Notes): Guercino (Score: 95.0)
Caterina Barbarigo,,Q14942558,,Person,[Reconstruction] 威尼斯贵族。,Caterina Sagredo Barbarigo,Wikipedia Search Result,Smart Match via 'Caterina Barbarigo': Caterina Sagredo Barbarigo (81.8),,,
Ceiling Frescoes (Palazzo Altieri),,,Q17077179,Work,[Validation] 马拉塔/Coli/Gherardi作品。,,,No results found,Gherardi,family name,Deep Match via 'Gherardi' (From Notes): Gherardi (Score: 95.0)
Ceiling Frescoes (Quirinal Palace),,Q223079,,Work,[Validation] 奎里纳尔宫壁画。,Quirinal Palace,Wikipedia Search Result,Smart Match via 'Ceiling Frescoes (Quirinal Palace)': Quirinal Palace (71.2),,,
Ceiling fresco (Augustinian Church),,,Q107169144,Work,[Validation] 可能是帕多瓦 Eremitani 或其他。,,,No results found,Eremitani,,Deep Match via 'Eremitani' (From Notes): Eremitani (Score: 95.0)
Ceiling of Palazzo Doria Pamphilj,,,,Work,[Validation] 壁画。,,,No results found,,,
Ceremonies of the Grand Duke,,,,Work/Event,[Validation] 托斯卡纳大公典礼记录/画作。,,,No results found,,,
Chapel of St. Lawrence,,,,Place,[Validation] 礼拜堂。,,,No results found,,,
Chapel of St. Stanislaus Kostka,,Q7591706,,Place,[Validation] 罗马Sant'Andrea al Quirinale礼拜堂。,St. Stanislaus Kostka Church (Chicago),Wikipedia Search Result,Smart Match via 'Chapel of St. Stanislaus Kostka': St. Stanislaus Kostka Church (Chicago) (71.2),,,
Chapels of Santa Maria Maggiore,,Q186282,,Place,[Validation] 罗马教堂礼拜堂。,Santa Maria Maggiore,Wikipedia Search Result,Smart Match via 'Chapels of Santa Maria Maggiore': Santa Maria Maggiore (78.4),,,
"Charles Gordon-Lennox, 3rd Duke of Richmond",,Q335368,,Person,"[Disambiguation] 18th c. ""Lord March"" (Earl of March) 通常指查尔斯·戈登-伦诺克斯，著名的艺术赞助人和大游学者。","Charles Gordon-Lennox, 5th Duke of Richmond",Wikipedia Search Result,"Smart Match via 'Charles Gordon-Lennox, 3rd Duke of Richmond': Charles Gordon-Lennox, 5th Duke of Richmond (93.0)",,,
Charles I of England / Charles II?,,Q81506,,Person,[Ambiguity] 可能是查理一世或二世，或 Prince Charles Edward Stuart。待定。,Charles I of England,Wikipedia Search Result,Smart Match via 'Charles I of England / Charles II?': Charles I of England (74.1),,,
Charles-François de Saint-Saulieu,,,Q1469911,Person,"[OCR Fix] ""Fran ois"" -> ""François""。",,,No results found,Fran,unisex given name,Deep Match via 'Fran' (From Notes): Fran (Score: 95.0)
"Christian Louis I, Duke of Mecklenburg-Schwerin",,Q70203,,Person,[Disambiguation] 梅克伦堡公爵。,Duke Christian Louis of Mecklenburg,Wikipedia Search Result,"Smart Match via 'Christian Louis I, Duke of Mecklenburg-Schwerin': Duke Christian Louis of Mecklenburg (73.2)",,,
Church of San Sebastiano (Venice),,Q588559,,Place,[Validation] 威尼斯教堂 (Veronese)。,"San Sebastiano, Venice",Wikipedia Search Result,"Smart Match via 'Church of San Sebastiano (Venice)': San Sebastiano, Venice (76.4)",,,
Churches of Religious Orders,,Q1746003,,Place,[Validation] 通用概念。,Enclosed religious orders,Wikipedia Search Result,Smart Match via 'Churches of Religious Orders': Enclosed religious orders (71.7),,,
Cincinnatus Summoned from the Plough,,,,Work,[Validation] 绘画主题。,,,No results found,,,
Cincinnatus summoned from the Plough,,,,Work,[Validation] 绘画主题。,,,No results found,,,
Coggio Pittoni,,,,Person,[OCR Fix] 同上。,,,No results found,,,
Coggio Pittoni (Artist?),,,Q107264259,Person,"[Check Original] 可能是 ""Giovanni Battista Pittoni"" 的 OCR 乱码或极生僻人物。疑似 ""Cugino Pittoni"" (Pittoni 的表亲) 或误拼。待定。",,,No results found,Giovanni Battista Pittoni,Italian priest (ca. 1666-1748),Deep Match via 'Giovanni Battista Pittoni' (From Notes): Giovanni Battista Pittoni (Score: 95.0)
Collegio di Siena,,Q89207506,,Place,[Validation] 锡耶纳学院。,"Collegio Tolomei, Siena",Wikipedia Search Result,"Smart Match via 'Collegio di Siena': Collegio Tolomei, Siena (80.0)",,,
Congregazione dei Virtuosi al Pantheon,,,,Group,[Category Fix] 万神殿艺术家协会。 | [Validation] 罗马艺术家行会。,,,No results found,,,
Consiglio del Consorzio,,,,Organization,[Validation] 机构/委员会。,,,No results found,,,
Conte Carpegna,,,,Person,[Validation] 卡佩尼亚伯爵。,,,No results found,,,
Conte Cavazza,,,,Person,[Validation] 博洛尼亚/威尼斯贵族。,,,No results found,,,
Copy of Annibale Carracci's Works,,,,Work,[Validation] 复制品。,,,No results found,,,
Copy of Raphael's Loggias,,,,Work,[Validation] 复制品。,,,No results found,,,
Cornelius de Stael,,,,Person,,,,No results found,,,
Count Waldstein,,,,Person,瓦尔德施泰因家族成员。,,,No results found,,,
Count of Monterrey,,,,Person,西班牙贵族/那不勒斯总督。,,,No results found,,,
Couvent des Augustins Déchaussés,,,,Place,[Validation] 巴黎修道院 (Petits-Pères)。,,,No results found,,,
Cremonese School,,,,Group,[Validation] 克雷莫纳画派。,,,No results found,,,
Creusa imploring Aeneas,,,,Work,[Validation] 绘画主题。,,,No results found,,,
Cristoforo Tencalla,,,,Person,提契诺壁画家。,,,No results found,,,
Customs duty on pictures,,,,Concept,[Validation] 经济/法律概念。,,,No results found,,,
Dance of Nymphs,,,,Work,[Validation] 绘画主题。,,,No results found,,,
Daniele Dolfin III,,,,Person,[Validation] 威尼斯大使。,,,No results found,,,
Daniele Dolfin IV,Q3014934,,,Person,[Validation] 威尼斯贵族/大使。 | [Validation] 威尼斯贵族。,,,No results found,,,
Death of Regulus,,Q28038182,,Work,[Category Fix] Salvator Rosa 的画作。,The Departure of Regulus,Wikipedia Search Result,Smart Match via 'Death of Regulus painting': The Departure of Regulus (75.0),,,
Death of St. Francis Xavier,,Q27979751,,Work,[Validation] 绘画主题。,Miracles of St. Francis Xavier (Rubens),Wikipedia Search Result,Smart Match via 'Death of St. Francis Xavier painting': Miracles of St. Francis Xavier (Rubens) (80.7),,,
Decorations for St. Augustine Church,,,,Work,[Validation] 装饰工程。,,,No results found,,,
Dedicatory Frontispiece,,,,Work,[Validation] 书籍/版画卷首插图。,,,No results found,,,
Design for Sant'Andrea al Quirinale,,Q1354667,,Work,[Validation] 建筑设计图。,Sant'Andrea al Quirinale,Wikipedia Search Result,Smart Match via 'Design for Sant'Andrea al Quirinale': Sant'Andrea al Quirinale (81.4),,,
Design for St. Peter's Square,,Q83425,,Work,[Validation] 贝尼尼设计图。,St. Peter's Square,Wikipedia Search Result,Smart Match via 'Design for St. Peter's Square': St. Peter's Square (76.6),,,
Devolution of Urbino to the Papacy,,,,Event,1631年乌尔比诺归入教皇国事件。,,,No results found,,,
Diffusion of Neapolitan painting,,,,Concept,[Category Fix] 艺术史研究主题。,,,No results found,,,
Divine Virtues,,Q686919,,Work,[Validation] 绘画/雕塑主题。,Seven virtues,Wikipedia Search Result,Smart Match via 'Divine Virtues': Seven virtues (74.1),,,
Dome Frescoes (Sant'Agnese in Agone),,Q1192577,,Work,[Validation] 罗马教堂壁画 (Ciro Ferri/Corrado Giaquinto?)。实际上是 Ciro Ferri 和 Baciccio 参与。,Sant'Agnese in Agone,Wikipedia Search Result,Smart Match via 'Dome Frescoes (Sant'Agnese in Agone)': Sant'Agnese in Agone (71.4),,,
Domenico Darmanno,,,,Person,"[Check Original] 极生僻。可能是 ""Domenico D'Arminio""? 或者误拼。待定。",,,No results found,,,
Domenico Lionati da Fanano,,,Q7299999,Person,"[OCR Fix/Reconstruction] 极可能是 ""Domenico Lionati"" 或 ""Lelonotti"" (罕见)。Fanano 是地名。",,,No results found,ReConStruction,"science fiction convention held in Raleigh, NC, USA",Deep Match via 'Reconstruction' (From Notes): ReConStruction (Score: 95.0)
Domenico Pompeati,,,,Person,,,,No results found,,,
Domenico da Isnello,,,,Person,[Validation] 建筑师/工程师。,,,No results found,,,
Drawings of Sagredo Family Members,,,,Work,[Validation] 素描集。,,,No results found,,,
Dream of St Joseph,,,,Work,[Validation] 绘画主题。,,,No results found,,,
Duchess of Bagnara,,,Q21507152,Person,[Validation] 贵族头衔 (Ruffo家族)。,,,No results found,Ruffo,family name,Deep Match via 'Ruffo' (From Notes): Ruffo (Score: 95.0)
Duchess of Savoy,,,Q230873,Person,泛指，需语境（如 Anne Marie d'Orléans）。,,,No results found,Anne Marie d'Orléans,Queen Consort of Sardinia (1669-1728),Deep Match via 'Anne Marie d'Orl' (From Notes): Anne Marie d'Orléans (Score: 84.4)
Duplex Intercessio,,,,Work/Concept,[Validation] 双重代祷 (绘画神学主题)。,,,No results found,,,
Dutch artists,,,,Group,[Validation] 艺术家群体。,,,No results found,,,
Edoardo Lombardo,,,,Person,[Validation] 现代学者 (威尼斯史)。,,,No results found,,,
Eleonora Zambeccari,,,Q123054369,Person,[Category Fix] 原文误标为 Man-Made Object。博洛尼亚贵族。 | [Validation] 博洛尼亚贵族。,,,No results found,Man-Made Object,song by Lemon Demon,Deep Match via 'Man-Made Object' (From Notes): Man-Made Object (Score: 95.0)
Elisa Carandini,,Q15997310,,Person,[Category Fix] 原文误标为 Work。,Francesco Carandini,Wikipedia Search Result,Smart Match via 'Elisa Carandini': Francesco Carandini (70.6),,,
Elisabetta Antoniazzi Rossi,,,Q1330587,Person,"[OCR Fix] ""Elizabetta"" -> ""Elisabetta""。学者。",,,No results found,Elisabetta,female given name,Deep Match via 'Elisabetta' (From Notes): Elisabetta (Score: 95.0)
Emperor Henry IV Kneeling Before Pope Gregory VII,Q19898046,,Q111144,Work,[Validation] 绘画主题 (Canossa)。,,,No results found,Canossa,Italian comune,Deep Match via 'Canossa' (From Notes): Canossa (Score: 95.0)
Enea Arnaldi / Lodovico Arnaldi?,,,Q37572942,Person,"[Check] 可能是 ""Enea Arnaldi"" (维琴察学者) 或 ""Lodovico Arnaldi"" (贵族)。待定为 Lodovico Arnaldi。",,,No results found,Check,family name,Deep Match via 'Check' (From Notes): Check (Score: 95.0)
Enea Silvio Caprara,,Q255150,,Person,[Disambiguation] 奥地利元帅。 | [Disambiguation] 奥地利陆军元帅 (Enea Silvio Caprara)。,Aeneas de Caprara,Wikipedia Search Result,Smart Match via 'Enea Silvio Caprara': Aeneas de Caprara (72.2),,,
English patronage,,,,Concept,[Validation] 艺术赞助。,,,No results found,,,
Entrance of Procurator Giorgio Pisani,,,Q18086567,Place,"[OCR Fix] ""nell＊ingresso"" -> ""nell'ingresso""。指代具体位置或该处的装饰/铭文。",,,No results found,Nell,female given name,Deep Match via 'nell' (From Notes): Nell (Score: 95.0)
Entry of the Count of Colloredo,,,,Work,[Validation] 卡纳莱托画作。,,,No results found,,,
Estella Brunetti,,,,Person,[Validation] 艺术史学家。,,,No results found,,,
Etchings of Oriental-style Heads,,,Q16825843,Work,[Validation] Castiglione 或 Tiepolo 作品。,,,No results found,Castiglione,family name,Deep Match via 'Castiglione' (From Notes): Castiglione (Score: 95.0)
European scientific societies,,Q1376851,,Group/Concept,[Category Fix] 原文误标为 Place。,European Optical Society,Wikipedia Search Result,Smart Match via 'European scientific societies': European Optical Society (71.7),,,
Exhibition of S. Rocco,,,,Event,[Category Fix] 威尼斯圣罗格大会堂的年度画展。,,,No results found,,,
Fabio de Fabiis,,,,Person,[Validation] 罗马人物。,,,No results found,,,
Facade of Santa Maria del Giglio,,,Q327026,Work,[Validation] 威尼斯教堂立面 (Giuseppe Sardi)。,,,No results found,Giuseppe Sardi,Italian architect,Deep Match via 'Giuseppe Sardi' (From Notes): Giuseppe Sardi (Score: 95.0)
Faith crushing Idolatry,,,Q98211800,Work,[Validation] 雕塑/绘画主题 (Theodon等)。,,,No results found,Théodon,family name,Deep Match via 'Theodon' (From Notes): Théodon (Score: 81.4)
Fame Carrying the Name of Louis XIV...,,,Q24700486,Work,[Validation] 绘画主题 (Le Brun等)。,,,No results found,Le Brun,family name,Deep Match via 'Le Brun' (From Notes): Le Brun (Score: 95.0)
Fame inscribing the glories of Louis XIV...,,,,Work,[Validation] 绘画主题。,,,No results found,,,
Fantastical Heads in the Manner of Giorgione,,,Q1529806,Work,[Validation] 画作/版画描述 (Pietro della Vecchia等)。,,,No results found,Pietro della Vecchia,painter of the Venetian School (1603–1678),Deep Match via 'Pietro della Vecchia' (From Notes): Pietro della Vecchia (Score: 95.0)
Faustina Savorgnan,,,,Person,[Validation] 威尼斯贵族。,,,No results found,,,
Federico Correr Lorenzetti,,,Q47085801,Person,"[Validation] 威尼斯贵族/收藏家? 需核实。可能是误将 ""Correr"" 和 ""Lorenzetti"" (Giulio Lorenzetti, 学者) 混合，或特定人物。",,,No results found,Correr,family name,Deep Match via 'Correr' (From Notes): Correr (Score: 95.0)
Flemish artists in Rome,,,Q514377,Group,[Validation] 艺术家群体 (Bentvueghels等)。,,,No results found,Bentvueghels,"artist society in Rome, Italy",Deep Match via 'Bentvueghels' (From Notes): Bentvueghels (Score: 95.0)
Flight of Aeneas from Troy,,,,Work,[Validation] 绘画主题。,,,No results found,,,
Fondamenta Foscarini,,,,Place,[Validation] 威尼斯街道。,,,No results found,,,
Fortune under the control of Virtue,,,,Work,[Validation] 绘画主题。,,,No results found,,,
"Fortune under the control of Virtue, Justice and Peace",,,Q7157305,Work,[Validation] 绘画主题。,,,No results found,Peace,family name,Deep Match via 'Peace' (Segment): Peace (Score: 80.0)
Francesco Catalano,,Q16234947,,Person,[Category Fix] 原文误标为 Place。,Francesco Rapisarda,Wikipedia Search Result,Smart Match via 'Francesco Catalano': Francesco Rapisarda (70.3),,,
Francesco Girolamo Nappi,,Q39074429,,Person,(P.可能是Padre/Frate) 17世纪神职人员/作家，或画家。,Francesco Nappi (bishop),Wikipedia Search Result,Smart Match via 'Francesco Girolamo Nappi': Francesco Nappi (bishop) (76.9),,,
Francesco Griseri,,,,Person,[Validation] 建筑师/人物。,,,No results found,,,
Francesco Mengardi,,,Q122376269,Person,[OCR Fix/Typo] 原文标为地点且拼写疑似有误，应为画家 Francesco Mengardi。,,,No results found,TYPO,2021 video game,Deep Match via 'Typo' (From Notes): TYPO (Score: 95.0)
Francesco Panciatichi,,,Q7200212,Person,[Category Fix] 原文误标为 Place。佛罗伦萨参议员。 | [Validation] 佛罗伦萨政治家/国务秘书。,,,No results found,Place,family name,Deep Match via 'Place' (From Notes): Place (Score: 95.0)
Francesco Rosichino,,,Q497240,Person,[Disambiguation] 17世纪罗马礼仪官 (Master of Ceremonies)。,,,No results found,master of ceremonies,official host of a staged event or similar performance,Deep Match via 'Master of Ceremonies' (From Notes): master of ceremonies (Score: 95.0)
Francesco Scaramuccia,,,Q4245067,Person,[Validation] 罗马/佩鲁贾画家/传记作者 (Luigi Scaramuccia之父?)。通常传记作者是 Luigi Scaramuccia。需确认原文是否指 Luigi 或其父。如果是 17世纪，Luigi 更出名。,,,No results found,Luigi,male given name,Deep Match via 'Luigi' (From Notes): Luigi (Score: 95.0)
French hostility to Italian art (17th c.),,,,Concept,[Validation] 艺术史议题。,,,No results found,,,
French patronage,,Q3884394,,Concept,[Validation] 艺术赞助。,Parochial patronage,Wikipedia Search Result,Smart Match via 'French patronage': Parochial patronage (74.3),,,
Fresco on staircase of Hampton Court Palace,,,Q106832378,Work,[Validation] Verrio/Laguerre壁画。,,,No results found,Verrio,engraving - Alexander Bannerman,Deep Match via 'Verrio' (From Notes): Verrio (Score: 95.0)
Frescoes in Lanfranco Chapel (Modena Cathedral),,,Q1414531,Work,"[Correction] Lanfranco 是摩德纳大教堂的建筑师。可能是指 ""Frescoes in the Lanfranco Chapel"" 或 ""Frescoes by Lanfranco"" (Giovanni Lanfranco)。结合上下文 ""Frescoes in..."", 可能是地点。但 Lanfranco 也是画家。需确认。如果指 Lanfranco (画家) 在 Naples Cathedral 的壁画，则为 Work。如果指 Modena Cathedral (Arch. Lanfranco)，则为 Place/Work。倾向于 Giovanni Lanfranco 的壁画作品。",,,No results found,correction,subsequent remediation of an erroneous object,Deep Match via 'Correction' (From Notes): correction (Score: 95.0)
