Refined_Formal_Name,Refined_Category,Original_Entry,Status/Notes
Archbasilica of Saint John Lateran,Place,Archbasilica of St. John Lateran,[Validation] 拉特朗圣若望大殿。
Archbasilica of Saint John Lateran,Place,Cathedral of Rome,[Disambiguation] 罗马主教座堂是拉特朗圣若望。
Archduke Leopold Wilhelm of Austria,Person,Archduke Leopold Wilhelm of Austria,[Validation] 著名艺术收藏家。
Archduke Leopold Wilhelm of Austria,Person,"Leopold Wilhelm, Archduke",[Category Fix] 原文误标为 Man-Made Object。
Archivio di Stato di Venezia (Sezione Notarile),Organization,"Sezione Notarile, Venice",[Category Fix] 威尼斯国家档案馆公证处。
Archivio di Stato di Venezia (Sezione Notarile),Organization,Venice Notarial Section,[Category Fix] 威尼斯国家档案馆公证处。
Archivio di Stato di Venezia (Sezione Notarile),Organization,Venice-Sezione Notarile,[Category Fix]
Art Institute of Chicago,Place/Organization,Art Institute of Chicago,[Validation] 芝加哥艺术博物馆。
Art Institute of Chicago,Organization,Art Institute of Chicago Robert A. Waller Fund,[Refinement] 博物馆基金。
Ascanio Filomarino,Person,Ascanio Filomarino,[Validation] 那不勒斯枢机主教。
Ascanio Filomarino,Person,"Filomarino, Cardinal",[Disambiguation] 那不勒斯大主教。
Augustus II the Strong,Person,"Augustus II of Poland (Frederick Augustus I, Elector of Saxony)",[Disambiguation] 奥古斯都二世。
Augustus II the Strong,Person,Augustus II the Strong,[Validation] 萨克森选帝侯/波兰国王。
Augustus III of Poland,Person,Augustus III of Poland,[Validation] 奥古斯都三世。
Augustus III of Poland,Person,"Augustus III of Poland (Frederick Augustus II, Elector of Saxony)",[Validation] 同上。
Baldassare Longhena,Person,Longhena,[Disambiguation] 建筑师。
Baldassare Longhena,Person,"Longhena, Baldassare",[Validation] 建筑师。
Balthasar Neumann,Person,Johann Balthasar Neumann,[Validation] 德国巴洛克建筑师。
Balthasar Neumann,Person,"Neumann, Balthasar",德国巴洛克建筑师。
Barberini Chapel (Sant'Andrea della Valle),Place,Barberini Chapel in S. Andrea della Valle,[Validation] 罗马礼拜堂。
Barberini Chapel (Sant'Andrea della Valle),Place,Barberini Chapelin S.Andreadella Valle),[OCR Fix] 标点和空格修复。
Bartolomeo Letterini,Person,Bartolomeo Letterini,[Validation] 威尼斯画家。
Bartolomeo Letterini,Person,"Letterini, Bartolommeo",[Reconstruction] 威尼斯画家。
Bartolomeo Nazari,Person,Bartolomeo Nazari,[Validation] 威尼斯肖像画家。
Bartolomeo Nazari,Person,"Nazari, Bartolommeo",威尼斯肖像画家。
Bartolomeo Schedoni,Person,Bartolomeo Schedoni,[Validation] 帕尔马画家。
Bartolomeo Schedoni,Person,"Schedoni, Bartolommeo",帕尔马画家。
Benoît Audran the Elder,Person,"Audran, Benoit",[Disambiguation] 法国版画家。
Benoît Audran the Elder,Person,Beno?t Audran the Elder,"[OCR Fix] 修正 ""?"" 为 ""î""。"
Bernard Le Bovier de Fontenelle,Person,Bernard Le Bovier de Fontenelle,[Validation] 作家。
Bernard Le Bovier de Fontenelle,Person,Fontenelle,[Disambiguation] 法国作家。
Bernardo De Dominici,Person,Bernardo de' Dominici,[Validation] 那不勒斯艺术传记作家。
Bernardo De Dominici,Person,"Dominici, Bernardo de",[Reconstruction] 那不勒斯传记作家。
Biblioteca Estense,Place,Biblioceca Estense,"[OCR Fix] ""Biblioceca"" -> ""Biblioteca""。"
Biblioteca Estense,Place,Biblioteca Estense,[Validation] 摩德纳图书馆。
Biblioteca Nazionale Marciana,Place,Biblioteca Nazionale Marciana,[Validation] 威尼斯圣马可图书馆。
Biblioteca Nazionale Marciana,Place,Marciana,威尼斯马尔恰纳图书馆。
Biblioteca del Museo Correr,Place,Biblioteca Correr,[Validation] 威尼斯图书馆。
Biblioteca del Museo Correr,Place,Correr Library,[Validation] 威尼斯图书馆。
Biblioteca del Museo Correr,Organization,Museo Correr Library,[Category Fix] 博物馆图书馆。
Ca' Foscari,Place,Ca' Foscari,[Validation] 威尼斯宫殿/大学。
Ca' Foscari,Place,Palazzo Foscari,威尼斯宫殿。
Ca' Pesaro,Place,Ca' Pesaro,[Validation] 威尼斯宫殿/博物馆。
Ca' Pesaro,Place,Pesaro palace,威尼斯佩萨罗宫（现为现代艺术博物馆）。
Caesar Baronius,Person,"Baronio, Cardinal",[Disambiguation] 凯撒·巴罗尼乌斯枢机 (教会史学家)。
Caesar Baronius,Person,Caesar Baronius,[Validation] 枢机/历史学家。
Camillo Astalli,Person,"Astalli (Pamfili), Camillo",[Disambiguation] 卡米洛·阿斯塔利枢机。
Camillo Astalli,Person,Camillo Astalli,[Validation] 枢机主教。
Camillo Astalli,Person,"Pamfili (Astalli), Camillo",曾被 Pamphilj 家族收养的红衣主教 (Cardinal-Nephew)。
Camillo Gavassetti,Person,Camillo Gavassetti,[Validation] 莫德纳画家。
Camillo Gavassetti,Person,"Gavasetti, Camillo",[Reconstruction] 莫德纳画家。
Camillo Pamphilj,Person,Pamfili Moncalto,"[OCR/Confusion] 极可能是 ""Pamfili, Montalto"" 的混淆或 ""Camillo Pamphilj"" 的误读。"
Camillo Pamphilj,Person,"Pamfili, Prince Camillo (nephew...)",英诺森十世的侄子，放弃枢机职位结婚。
Caravaggio,Person,"Caravaggio, Michelangelo da",[Disambiguation] 卡拉瓦乔。
Caravaggio,Person,Michelangelo Merisi da Caravaggio,卡拉瓦乔。
Cardinal Richelieu,Person,Armand Jean du Plessis,[Disambiguation] 黎塞留枢机。
Cardinal Richelieu,Person,Richelieu,黎塞留枢机。
Carl Gustaf Tessin,Person,Carl Gustaf Tessin,[Validation] 瑞典外交官/收藏家。
Carl Gustaf Tessin,Person,"Tessin, Count Carl Gustav",瑞典重要外交官与收藏家。
Carlo Barberini,Person,"Barberini, Carlo (brother to Urban VIII)",[Reconstruction] 乌尔班八世之兄。
Carlo Barberini,Person,Carlo Barberini,[Validation] 枢机主教。
Carlo Lodoli,Person,Carlo Lodoli,[Validation] 威尼斯建筑理论家。
Carlo Lodoli,Person,"Lodoli, Padre Carlo",[Reconstruction] 建筑理论家。
Carlo Maratta,Person,Carlo Maratti,[Standardization] 画家 (也拼作 Maratti)。
Carlo Maratta,Person,"Maratta, Carlo",[Validation] 罗马画家。
Carlo Roberto Dati,Person,Carlo Roberto Dati,[Validation] 佛罗伦萨学者。
Carlo Roberto Dati,Person,"Dati, Carlo",[Validation] 佛罗伦萨学者。
Castel Cogolo,Place,Castel Cogolo,[Validation] 城堡。
Castel Cogolo,Place,Castle of Cogolo,[Validation] 同 Castel Cogolo。
Catherine the Great,Person,Catherine the Great of Russia,[Validation] 俄国女皇。
Catherine the Great,Person,Sophie Friederike Auguste von Anhalt-Zerbst,叶卡捷琳娜大帝的原名。
Cesare Leopardi,Person,Don Cesare Leopardi d`Osimo,[Validation] 奥西莫贵族。
Cesare Leopardi,Person,"Osimo, Don Cesare Leopardi di",奥西莫的贵族/学者。
"Charles Colbert, marquis de Croissy",Person,Charles Colbert,[Disambiguation] 法国外交官 (Colbert弟弟)。
"Charles Colbert, marquis de Croissy",Person,"Croissy, M. de",[Disambiguation] 外交官。
Charles I of England,Person,Charles I,[Category Fix] 原文误标为 Work。
Charles I of England,Person,Charles I of England,[Validation] 英国国王。
Charles II of England,Person,Charles II,[Disambiguation] 查理二世 (需结合语境，通常指英国)。
Charles II of England,Person,Charles II of England,[Validation] 英国国王。
"Charles Mordaunt, 3rd Earl of Peterborough",Person,Charles Mordaunt,[Disambiguation] 英国将领/贵族。
"Charles Mordaunt, 3rd Earl of Peterborough",Person,"Peterborough, 3rd Earl of",
"Charles V, Holy Roman Emperor",Person,Charles V,[Disambiguation] 查理五世。
"Charles V, Holy Roman Emperor",Person,"Charles V, Holy Roman Emperor",[Validation] 神圣罗马帝国皇帝。
"Charles Watson-Wentworth, 2nd Marquess of Rockingham",Person,Charles Watson-Wentworth,[Validation] 英国首相。
"Charles Watson-Wentworth, 2nd Marquess of Rockingham",Person,"Rockingham, Lord",
Charles XII of Sweden,Person,Carl XII,[Disambiguation] 瑞典国王查理十二世。
Charles XII of Sweden,Person,Charles XII of Sweden,[Validation] 瑞典国王。
Charles de Brosses,Person,"Brosses, Président Charles De",[Reconstruction] 法国作家 (Lettres familières)。
Charles de Brosses,Person,Charles de Brosses,[Validation] 法国作家。
"Christina, Queen of Sweden",Person,Christina of Sweden,[Validation] 瑞典女王。
"Christina, Queen of Sweden",Person,"Christina, Queen of Sweden",[Validation] 同上。
Claudio Acquaviva,Person,"Aquaviva, Claudio",[Reconstruction] 耶稣会总会长。
Claudio Acquaviva,Person,Claudio Acquaviva,[Validation] 耶稣会总会长。
Clemens August of Bavaria,Person,Clemens August of Bavaria,[Validation] 科隆选帝侯。
Clemens August of Bavaria,Person,"Clemens August, Archbishop-Elector of Cologne",[Category Fix] 原文误标为 Work。
Clemens August of Bavaria,Person,Kufürst Clemens August,[Category Fix] 原文误标为 Man-Made Object。科隆选帝侯。
Clement IX,Person,Clement IX,[Validation] 教皇。
Clement IX,Person,"Rospigliosi, Giulio (Pope Clement IX)",教皇克莱门特九世。
Clement VIII,Person,"Aldobrandini, Ippolito (Pope Clement VIII)",[Disambiguation] 教皇克莱门特八世。
Clement VIII,Person,"Clement VIII, Pope",[Validation] 教皇。
Clement X,Person,"Altieri, Emilio (Pope Clement X)",[Disambiguation] 教皇克莱门特十世。
Clement X,Person,Pope Clement X,
Clement XI,Person,"Albani, Gianfrancesco (Pope Clement XI)",[Disambiguation] 教皇克莱门特十一世。
Clement XI,Person,Clement XI,[Validation] 教皇。
Clement XII,Person,"Clement XII, Pope",[Validation] 教皇。
Clement XII,Person,"Corsini, Lorenzo (Pope Clement XII)",[Disambiguation] 教皇克莱门特十二世。
Clement XIII,Person,"Clement XIII, Pope",[Validation] 教皇。
Clement XIII,Person,"Rezzonico, Carlo (Pope Clement XIII)",教皇克莱门特十三世。
Congregazione dei Virtuosi al Pantheon,Group,Congregazione dei Virtuosi,[Validation] 罗马艺术家行会。
Congregazione dei Virtuosi al Pantheon,Organization,"Virtuosi, Congregazione dei",[Category Fix] 万神殿艺术家协会。
Cornelis Schut,Person,Cornelis Schut,[Validation] 佛兰芒画家。
Cornelis Schut,Person,"Schut, Corneille",佛兰芒画家。
Cornelis de Wael,Person,Cornelis de Wael,[Validation] 佛兰芒画家 (居热那亚/罗马)。
Cornelis de Wael,Person,"Wael, Cornelius de",佛兰芒画家。
Cornelis van Poelenburgh,Person,Cornelius van Poelenburgh,[Validation] 荷兰画家。
Cornelis van Poelenburgh,Person,"Poelenburgh, Cornelius",荷兰风景画家。
Correggio,Person,Antonio da Correggio,[Disambiguation] 柯雷乔。
Correggio,Person,Correggio,[Validation] 画家。
Cosimo III de' Medici,Person,Cosimo III de' Mediciy,"[OCR Fix] ""Mediciy"" -> ""Medici""。"
Cosimo III de' Medici,Person,"Medici, Cosimo III de'",托斯卡纳大公。
Daniele Concina,Person,"Concina, Padre Daniele",[Validation] 多明我会神学家。
Daniele Concina,Person,Daniele Concina,[Validation] 多明我会神学家。
Daniele Dolfin IV,Person,Daniele Dolfin IV,[Validation] 威尼斯贵族/大使。
Daniele Dolfin IV,Person,"Dolfin, Daniele IV",[Validation] 威尼斯贵族。
Dante Alighieri,Person,Dante,[Validation] 但丁。
Dante Alighieri,Person,Dante Alighieri,[Validation] 但丁。
David Teniers the Younger,Person,David Teniers the Younger,[Validation] 佛兰芒画家。
David Teniers the Younger,Person,"Teniers, David",佛兰芒画家。
Decio Azzolino,Person,"Azzolini, Cardinal",[Disambiguation] 德西奥·阿佐利诺枢机。
Decio Azzolino,Person,Decio Azzolino,[Validation] 枢机主教。
Diego Velázquez,Person,Diego Velázquez,[Validation] 西班牙画家。
Diego Velázquez,Person,Velasquez,委拉斯开兹。
Dirk Helmbreker,Person,"Helmbrecker, Theodor",[Reconstruction] 佛兰芒画家。
Dirk Helmbreker,Person,Theodor Helm Breaker,[OCR Fix] 名字被错误拆分（Helm Breaker -> Helmbreker），佛兰芒画家。
Domenichino,Person,Domenichino (Domenico Zampieri),[Validation] 博洛尼亚画家。
Domenichino,Person,Domenico Zampieri,[Validation] 多梅尼基诺。
Domenico Cerato,Person,"Cerato, Abate",[Disambiguation] 帕多瓦建筑师 (Abate Cerato)。
Domenico Cerato,Person,Domenico Cerato,[Validation] 建筑师。
Domenico Fetti,Person,Domenico Fetti,[Validation] 画家。
Domenico Fetti,Person,"Feti, Domenico",[Reconstruction] 画家。
Domenico Ginnasi,Person,Domenico Ginnasi,[Validation] 枢机主教。
Domenico Ginnasi,Person,"Ginnasi, Cardinal",[Disambiguation] 枢机主教。
Domenico Maria Fratta,Person,Domenico Maria Fratta,[Validation] 博洛尼亚版画家。
Domenico Maria Fratta,Person,"Fratta, D. M.",[Reconstruction] 博洛尼亚版画家。
Domenico Passignano,Person,Domenico Passignano,[Validation] 画家。
Domenico Passignano,Person,"Passignani, Domenico",(Domenico Cresti) 佛罗伦萨画家。
Ecstasy of Saint Teresa,Work,Ecstasy of Saint Teresa,[Validation] 贝尼尼雕塑。
Ecstasy of Saint Teresa,Work,St Teresa wounded by Christ,[Category Fix] 圣特蕾莎的狂喜（或相关主题）。
El Escorial,Place,El Escorial,[Validation] 西班牙修道院/皇宫。
El Escorial,Place,L'Escorial,[Validation] 埃斯科里亚尔。
Eleonora Zambeccari,Person,Eleonora Zambeccari,[Validation] 博洛尼亚贵族。
Eleonora Zambeccari,Person,"Zambeccari, Marchesa Eleonora",[Category Fix] 原文误标为 Man-Made Object。博洛尼亚贵族。
Ellis Waterhouse,Person,Ellis Waterhouse,[Validation] 艺术史学家。
Ellis Waterhouse,Person,"Waterhouse, E. K.",英国艺术史学家。
"Emily Temple, Viscountess Palmerston",Person,Emily Temple,[Disambiguation] 帕默斯顿夫人。
"Emily Temple, Viscountess Palmerston",Person,"Palmerston, Lady",19世纪英国贵族。
Enea Silvio Caprara,Person,Aeneas de Caprara,[Disambiguation] 奥地利陆军元帅 (Enea Silvio Caprara)。
Enea Silvio Caprara,Person,"Caprara, Marshal",[Disambiguation] 奥地利元帅。
Ercole Graziani,Person,Ercole Graziani the Younger,[Validation] 博洛尼亚画家。
Ercole Graziani,Person,"Graziani, Ercole",[Validation] 博洛尼亚画家。
Ercole Procaccini the Elder,Person,Ercole Procaccini the Elder,[Validation] 画家。
Ercole Procaccini the Elder,Person,"Procaccini, Ercole",米兰画家（或指 Younger）。
Et in Arcadia ego,Work,Et in Arcadia ego,[Validation] 普桑/Guercino画作标题。
Et in Arcadia ego,Work,The Arcadian Shepherds (after...),[Category Fix] 普桑画作的临摹/版画。
Everhard Jabach,Person,Everhard Jabach,[Validation] 收藏家 (路易十四赞助)。
Everhard Jabach,Person,"Jabach, Everard",[Validation] 收藏家。
Federico Bencovich,Person,"Bencovich, Federico",[Reconstruction] 达尔马提亚/威尼斯画家。
Federico Bencovich,Person,Federiko Benkovi?,"[OCR Fix] ""Federiko Benkovi?"" -> ""Federico Bencovich"" (Dalmatian painter)。"
Federico Zuccari,Person,Federico Zuccari,[Validation] 风格主义画家/理论家。
Federico Zuccari,Person,"Zuccari, Federigo",风格主义画家。
Federico da Montefeltro,Person,Federico da Montefeltre,"[OCR Fix] ""Montefeltre"" -> ""Montefeltro""。乌尔比诺公爵。"
Federico da Montefeltro,Person,"Montefeltre, Federigo da",乌尔比诺公爵。
Felice Boscarati,Person,"Boscarati, Felice",[Reconstruction] 维罗纳画家。
Felice Boscarati,Person,Felice Boscaratti,[Validation] 维罗纳画家。
Ferdinand van den Eynde,Person,Ferdinand van den Eynde,[Validation] 佛兰芒/罗马收藏家 (Duquesnoy墓碑)。
Ferdinand van den Eynde,Person,"den Einden, Ferdinand van",佛罗伦萨/那不勒斯收藏家。
Ferdinando Galiani,Person,Ferdinando Galiani,[Validation] 经济学家/作家 (Abbé Galiani)。
Ferdinando Galiani,Person,"Galiani, Abate",[Reconstruction] 经济学家。
Ferdinando d'Adda,Person,"Adda, Cardinal d'",[Disambiguation] 费迪南多·达达枢机主教。
Ferdinando d'Adda,Person,Ferdinando d'Adda,[Validation] 枢机主教。
Ferdinando de' Medici (Grand Prince),Person,Ferdinando de' Medici,"[Disambiguation] 可能是 Ferdinando I, II 或 Great Prince Ferdinando (Grand Tour/Art Patron)。在艺术语境中常指 Grand Prince Ferdinando (1663–1713)。"
Ferdinando de' Medici (Grand Prince),Person,Grand Prince Ferdinando of Tuscany,[Validation] 美第奇家族大亲王 (Ferdinando III 的孙子，Cosimo III 之子)。
Filippo Corsini,Person,"Corsini, Marchese Filippo",[Category Fix] 原文误标为 Work。
Filippo Corsini,Person,Filippo Corsini,[Validation] 建筑师/贵族。
Filippo Napoletano,Person,"Angeli, Filippo d' (Napoletano)",[Disambiguation] 菲利波·那波列塔诺。
Filippo Napoletano,Person,Filippo Napoletano,[Validation] 风景画家。
Flight into Egypt,Work,Escape from Egypt,[Validation] 绘画主题。
Flight into Egypt,Work,Flight into Egypt,[Validation] 绘画主题。
Fra Bartolomeo,Person,"Bartolommeo, Fra",[Reconstruction] 佛罗伦萨画家。
Fra Bartolomeo,Person,Fra Bartolomeo,[Validation] 画家。
Francesco Adriano Ceva,Person,"Ceva, Cardinal",[Disambiguation] 枢机主教。
Francesco Adriano Ceva,Person,Francesco Adriano Ceva,[Validation] 枢机主教。
Francesco Albergati Capacelli,Person,"Albergati-Capacelli, Francesco",[Category Fix] 原文误标为 Place (E53)。剧作家/侯爵。
Francesco Albergati Capacelli,Person,Francesco Albergati Capacelli,[Validation] 剧作家。
Francesco Angelo Rapaccioli,Person,Francesco Angelo Rapaccioli,[Validation] 枢机主教。
Francesco Angelo Rapaccioli,Person,"Rapaccioli, Cardinal",枢机主教，艺术赞助人。
Francesco Baratta,Person,"Baratta, Francesco",[Category Fix] 原文误标为 Place。雕塑家。
Francesco Baratta,Person,Francesco Baratta the Elder,[Validation] 雕塑家。
Francesco Barberini (1597–1679),Person,"Barberini, Cardinal Francesco (nephew to Urban VIII)",[Category Fix] 原文误标为 Place。
Francesco Barberini (1597–1679),Person,Francesco Barberini,[Validation] 枢机主教。
Francesco Bassi (Il Cremonese),Person,"Bassi, Francesco (il Cremonese)",[Category Fix] 原文误标为 Place。风景画家。
Francesco Bassi (Il Cremonese),Person,Francesco Bassi,[Validation] 画家。
Francesco Maria I della Rovere,Person,Francesco Maria I della Rovere,[Validation] 乌尔比诺公爵。
Francesco Maria I della Rovere,Person,"Urbino, Francesco Maria della Rovere...",乌尔比诺公爵。
Francesco Maria Niccolò Gabburri,Person,Francesco Maria Niccolò Gabburri,[Validation] 佛罗伦萨收藏家/传记作家。
Francesco Maria Niccolò Gabburri,Person,"Gabburri, Francesco",[Category Fix] 原文误标为 Place。
Francesco Maria Richini,Person,Francesco Maria Richini,[Validation] 米兰巴洛克建筑师。
Francesco Maria Richini,Person,"Ricchini, Francesco Maria",[Category Fix] 原文误标为 Place。米兰巴洛克建筑师。
Francesco Maria Zanotti,Person,Francesco Maria Zanotti,[Validation] 博洛尼亚哲学家/作家。
Francesco Maria Zanotti,Person,"Zanotti, F. M.",博洛尼亚哲学家/作家。
Francesco Maria del Monte,Person,Francesco Maria del Monte,[Validation] 枢机主教 (Caravaggio赞助人)。
Francesco Maria del Monte,Person,"Monte, Cardinal Francesco del",[Category Fix] 原文误标为 Place。著名的卡拉瓦乔赞助人。
Francesco Panciatichi,Person,Francesco Panciatichi,[Validation] 佛罗伦萨政治家/国务秘书。
Francesco Panciatichi,Person,"Panciatichi, Senator Francesco",[Category Fix] 原文误标为 Place。佛罗伦萨参议员。
Francis I of France,Person,Francis I of France,[Validation] 法国国王。
Francis I of France,Person,François I of France,[Category Fix] 原文误标为 Place。
Francis Watson,Person,Francis Watson,[Validation] 艺术史学家 (Wallace Collection)。
Francis Watson,Person,"Watson, F. J. B.",华莱士收藏馆馆长。
Franco Venturi,Person,Franco Venturi,[Validation] 历史学家 (Settecento riformatore)。
Franco Venturi,Person,"Venturi, Professor Franco",著名的现代历史学家（启蒙运动研究）。
Frans Pourbus the Younger,Person,Frans Pourbus the Younger,[Validation] 佛兰芒肖像画家。
Frans Pourbus the Younger,Person,"Pourbus, Franz, the Younger",佛兰芒肖像画家。
Frans van Mieris the Elder,Person,Frans van Mieris the Elder,[Validation] 荷兰画家。
Frans van Mieris the Elder,Person,"Mieris, Frans van",荷兰黄金时代画家。
François Boucher,Person,"Boucher, François",[Reconstruction] 法国洛可可画家。
François Boucher,Person,Fran?ois Boucher,"[OCR Fix] ""?"" -> ""ç""。"
François Duquesnoy,Person,"Duquesnoy, François",[Validation] 佛兰芒雕塑家。
