Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes,Analysis_Tag,Similarity_Score,Issue_Flag
"Alessandro Farnese, Duke of Parma",Alessandro Farnese (Duke of Parma),Person,[Validation] 帕尔马公爵。,Validation,0.96,
Alessandro Galilei,Alessandro Galilei,Person,[Validation] 建筑师。,Validation,1.0,
Alessandro Gherardini,Alessandro Gherardini,Person,[Validation] 画家。,Validation,1.0,
Alessandro Longhi,Alessandro Longhi,Person,[Validation] 威尼斯肖像画家。,Validation,1.0,
Alessandro Ludovisi,Gregory XV,Person,[Disambiguation] 亚历山德罗·卢多维西 (教皇格里高利十五世)。,Disambiguation,0.28,
Alessandro Luzio,Alessandro Luzio,Person,[Validation] 历史学家。,Validation,1.0,
Alessandro Magnasco,Alessandro Magnasco,Person,[Validation] 画家。,Validation,1.0,
Alessandro Marabottini,Alessandro Marabottini,Person,[Validation] 艺术史学家。,Validation,1.0,
Alessandro Marchesini,Alessandro Marchesini,Person,[Validation] 画家。,Validation,1.0,
Alessandro Orsini,Alessandro Orsini,Person,[Validation] 亚历山德罗·奥尔西尼枢机。,Validation,1.0,
Alessandro Peretti di Montalto,Alessandro Peretti di Montalto,Person,[Validation] 枢机主教。,Validation,1.0,
Alessandro Scarlatti,Alessandro Scarlatti,Person,[Validation] 作曲家。,Validation,1.0,
Alessandro Sforza,Alessandro Sforza,Person,[Validation] 斯福尔扎家族成员 (可能是枢机)。,Validation,1.0,
Alessandro Turchi,Alessandro Turchi,Person,[Validation] 画家 (l'Orbetto)。,Validation,1.0,
Alessandro Varotari,Alessandro Varotari (Padovanino),Person,[Disambiguation] 帕多瓦尼诺。,Disambiguation,0.75,
Alessandro Vasalli,Alessandro Vassalli,Person,"[OCR Fix] 疑似 ""Vassalli"" (17世纪出版商/刻工)。",OCR Fix,0.97,
Cyril James Humphries Davenport,Cyril Davenport,Person,[Validation] 英国艺术作家/图书管理员。,Validation,0.65,
Dadie Rylands,"George ""Dadie"" Rylands",Person,[Validation] 英国戏剧导演/学者 (Cambridge)。,Validation,0.74,
Dalmatia,Dalmatia,Place,[Validation] 达尔马提亚 (威尼斯领地)。,Validation,1.0,
Damaso,San Damaso,Place,[Disambiguation] 可能是 San Damaso 教堂或 Cortile di San Damaso (梵蒂冈)。,Disambiguation,0.75,
Danae,Danaë,Work,[Validation] 绘画主题 (提香/伦勃朗等)。,Validation,0.8,
Dance of Nymphs,Dance of Nymphs,Work,[Validation] 绘画主题。,Validation,1.0,
Daniel Pickering Walker,D. P. Walker,Person,[Validation] 历史学家 (Warburg Institute)。,Validation,0.57,Low_Similarity; 
Daniele Beltrami,Daniele Beltrami,Person,[Validation] 威尼斯经济史学家。,Validation,1.0,
Daniele Concina,Daniele Concina,Person,[Validation] 多明我会神学家。,Validation,1.0,
Daniele Dolfin,Daniele Dolfin,Person,"[Validation] 威尼斯贵族/枢机主教 (需区分 Daniele II, III, IV)。",Validation,1.0,
Daniele Dolfin IV,Daniele Dolfin IV,Person,[Validation] 威尼斯贵族/大使。,Validation,1.0,
Daniele Florio,Daniele Florio,Person,[Validation] 乌迪内诗人。,Validation,1.0,
Daniello Bartoli,Daniello Bartoli,Person,[Validation] 耶稣会作家/历史学家。,Validation,1.0,
Dante,Dante Alighieri,Person,[Validation] 但丁。,Validation,0.5,Low_Similarity; 
Dante Alighieri,Dante Alighieri,Person,[Validation] 但丁。,Validation,1.0,
Daphne and Apollo,Apollo and Daphne,Work,[Validation] 绘画/雕塑主题。,Validation,0.35,Low_Similarity; 
Daphnis,Daphnis,Person (Myth),[Validation] 神话人物。,Validation,1.0,
Daphnis and Chloe,Daphnis and Chloe,Work,[Category Fix] 原文误标为 Concept。朗格斯的小说或绘画主题。,Category Fix,1.0,
"Dartmouth, Lord",Earl of Dartmouth,Person,[Validation] 英国贵族。,Validation,0.56,Low_Similarity; 
"Dati, Carlo",Carlo Roberto Dati,Person,[Validation] 佛罗伦萨学者。,Validation,0.34,Low_Similarity; 
"Daun, Count",Wirich Philipp von Daun / Leopold Joseph von Daun,Person,[Disambiguation] 奥地利元帅。,Disambiguation,0.27,
David,David,Person/Work,[Ambiguity] 圣经人物大卫，或米开朗基罗/贝尼尼雕塑。根据 E22 标记，应为 Work (雕塑/画作)。,Ambiguity,1.0,
David Teniers the Younger,David Teniers the Younger,Person,[Validation] 佛兰芒画家。,Validation,1.0,
David de Haen,David de Haen,Person,[Validation] 荷兰画家 (Caravaggisti)。,Validation,1.0,
David with the head of Goliath,David with the Head of Goliath,Work,[Validation] 绘画主题 (卡拉瓦乔等)。,Validation,1.0,
Death,Death,Concept/Person (Allegory),[Validation] 寓意人物或概念。,Validation,1.0,
Death of Abel,Death of Abel,Work,[Validation] 绘画主题。,Validation,1.0,
Death of Cleopatra,Death of Cleopatra,Work,[Validation] 绘画主题。,Validation,1.0,
Death of Dido,Death of Dido,Work,[Validation] 绘画主题。,Validation,1.0,
Death of Seneca,Death of Seneca,Work,[Validation] 绘画主题。,Validation,1.0,
Death of St. Francis Xavier,Death of St. Francis Xavier,Work,[Validation] 绘画主题。,Validation,1.0,
Death of Wallenstein,Death of Wallenstein,Work,[Validation] 绘画主题。,Validation,1.0,
Death of the Virgin,Death of the Virgin,Work,[Validation] 绘画主题 (卡拉瓦乔等)。,Validation,1.0,
Decio Azzolino,Decio Azzolino,Person,[Validation] 枢机主教。,Validation,1.0,
Decorations for St. Augustine Church,Decorations for St. Augustine Church,Work,[Validation] 装饰工程。,Validation,1.0,
Decorative Paintings for Pisa Residence,Decorative Paintings (Pisa),Work,[Validation] 装饰绘画。,Validation,0.76,
Dedicatory Frontispiece to Etchings,Dedicatory Frontispiece,Work,[Validation] 书籍/版画卷首插图。,Validation,0.79,
Deianira and Nessus,Deianira and Nessus,Work,[Validation] 绘画主题 (Guido Reni等)。,Validation,1.0,
Della Lena,Della Lena (Family/Person),Person,[Context] 可能是 Innocenzo della Lena (威尼斯作家) 或家族。,Context,0.56,Low_Similarity; 
Democritus,Democritus,Person,[Validation] 哲学家。,Validation,1.0,
Denis Diderot,Denis Diderot,Person,[Validation] 百科全书派哲学家。,Validation,1.0,
Denis Mahon,Denis Mahon,Person,[Validation] 艺术史学家/收藏家 (Baroque specialist)。,Validation,1.0,
Denis Pétau,Denis Pétau (Dionysius Petavius),Person,[Validation] 耶稣会神学家。,Validation,0.51,Low_Similarity; 
Denis-Xavier Clément,Denis Xavier Clément,Person,[Validation] 法国传教士/作家。,Validation,0.95,
Design for Sant'Andrea al Quirinale,Design for Sant'Andrea al Quirinale,Work,[Validation] 建筑设计图。,Validation,1.0,
Design for St. Peter's Square,Design for St. Peter's Square,Work,[Validation] 贝尼尼设计图。,Validation,1.0,
Detlef Heikamp,Detlef Heikamp,Person,[Validation] 艺术史学家。,Validation,1.0,
Detroit Institute of Arts,Detroit Institute of Arts,Place/Organization,[Validation] 博物馆。,Validation,1.0,
"Devonshire, Duke of",Duke of Devonshire,Person,[Validation] 英国贵族 (Chatsworth主人)。,Validation,0.54,Low_Similarity; 
Diana,Diana,Person (Myth),[Validation] 狩猎女神。,Validation,1.0,
Diana and Actaeon,Diana and Actaeon,Work,[Validation] 绘画主题 (提香等)。,Validation,1.0,
Diana and Actaeon at Bagnoli,Diana and Actaeon (Bagnoli),Work,[Validation] 特指Bagnoli别墅的壁画/画作。,Validation,0.91,
Diana and Callisto,Diana and Callisto,Work,[Validation] 绘画主题。,Validation,1.0,
Diana and Endymion,Diana and Endymion,Work,[Validation] 绘画主题。,Validation,1.0,
Diana and her Nymphs,Diana and her Nymphs,Work,[Validation] 绘画主题。,Validation,1.0,
Dido,Dido,Person (Myth),[Validation] 迦太基女王。,Validation,1.0,
Didwich,Dulwich,Place,"[OCR Fix] ""Didwich"" -> ""Dulwich"" (Dulwich Picture Gallery)。",OCR Fix,0.71,
Diego Velázquez,Diego Velázquez,Person,[Validation] 西班牙画家。,Validation,1.0,
Diego Zannandreis,Diego Zannandreis,Person,[Validation] 维罗纳艺术传记作家。,Validation,1.0,
"Dietrich, Christian",Christian Wilhelm Ernst Dietrich (Dietricy),Person,[Reconstruction] 德国画家。,Reconstruction,0.29,Low_Similarity; 
Diocletian's Palace,Diocletian's Palace,Place,[Validation] 斯普利特古迹 (Adam测绘)。,Validation,1.0,
Diogenes Searching for an Honest Man,Diogenes Searching for an Honest Man,Work,[Validation] 绘画主题 (Castiglione等)。,Validation,1.0,
Dionisio Dolfin,Dionisio Dolfin,Person,[Validation] 乌迪内大主教/Aquileia宗主教。,Validation,1.0,
Directors of Chatto & Windus,Chatto & Windus,Organization,[Category Fix] 原文误标为 Place。出版商。,Category Fix,0.7,
Dirk Ameyden,Dirk van Ameyden,Person,[Validation] 尼德兰/罗马学者 (Dirk van Ameyden)。,Validation,0.86,
Divine Love Conquering Earthly Love,Divine Love Conquering Earthly Love,Work,[Validation] 绘画主题 (Baglione)。,Validation,1.0,
Divine Right of Kings,Divine Right of Kings,Concept,[Validation] 政治概念。,Validation,1.0,
"Divine Virtues, Faith, Hope, Charity and Wisdom",Divine Virtues,Work,[Validation] 绘画/雕塑主题。,Validation,0.46,Low_Similarity; 
Doge's Palace,Doge's Palace (Palazzo Ducale),Place,[Validation] 威尼斯总督宫。,Validation,0.6,
Dolfin family,Dolfin (Family),Group,[Validation] 威尼斯家族。,Validation,0.93,
"Dolfin, Daniele (Archbishop of Udine)",Daniele Dolfin (1653-1704),Person,[Category Fix] 原文误标为 Work。,Category Fix,0.41,Low_Similarity; 
"Dolfin, Daniele III",Daniele Dolfin III,Person,[Validation] 威尼斯大使。,Validation,0.59,Low_Similarity; 
"Dolfin, Daniele IV",Daniele Dolfin IV,Person,[Validation] 威尼斯贵族。,Validation,0.57,Low_Similarity; 
Dome Frescoes of Sant'Agnese in Agone,Dome Frescoes (Sant'Agnese in Agone),Work,[Validation] 罗马教堂壁画 (Ciro Ferri/Corrado Giaquinto?)。实际上是 Ciro Ferri 和 Baciccio 参与。,Validation,0.93,
Domenichino (Domenico Zampieri),Domenichino,Person,[Validation] 博洛尼亚画家。,Validation,0.52,Low_Similarity; 
Domenico Bernini,Domenico Bernini,Person,[Validation] 贝尼尼之子/传记作者。,Validation,1.0,
Domenico Carutti,Domenico Carutti,Person,[Validation] 历史学家。,Validation,1.0,
Domenico Cerato,Domenico Cerato,Person,[Validation] 建筑师。,Validation,1.0,
Domenico Darmanno,Domenico Darmanno,Person,"[Check Original] 极生僻。可能是 ""Domenico D'Arminio""? 或者误拼。待定。",Check Original,1.0,
Domenico Fetti,Domenico Fetti,Person,[Validation] 画家。,Validation,1.0,
Domenico Fontana,Domenico Fontana,Person,[Validation] 建筑师。,Validation,1.0,
Domenico Gargiulo,Domenico Gargiulo (Micco Spadaro),Person,[Validation] 那不勒斯画家。,Validation,0.68,
Domenico Ginnasi,Domenico Ginnasi,Person,[Validation] 枢机主教。,Validation,1.0,
Domenico Guidi,Domenico Guidi,Person,[Validation] 雕塑家。,Validation,1.0,
Domenico Lovisa,Domenico Lovisa,Person,[Validation] 威尼斯出版商 (Il Gran Teatro di Venezia)。,Validation,1.0,
Domenico Maria Fratta,Domenico Maria Fratta,Person,[Validation] 博洛尼亚版画家。,Validation,1.0,
Domenico Maria Viani,Domenico Maria Viani,Person,[Validation] 博洛尼亚画家。,Validation,1.0,
Domenico Martinelli,Domenico Martinelli,Person,[Validation] 建筑师 (Lucca/Vienna)。,Validation,1.0,
Domenico Michelessi,Domenico Michelessi,Person,[Validation] 作家。,Validation,1.0,
Domenico Parodi,Domenico Parodi,Person,[Validation] 热那亚画家/雕塑家。,Validation,1.0,
Domenico Passignano,Domenico Passignano,Person,[Validation] 画家。,Validation,1.0,
Domenico Piola,Domenico Piola,Person,[Validation] 热那亚画家。,Validation,1.0,
Domenico Riccio,Domenico Riccio (Il Brusasorci),Person,[Validation] 维罗纳画家。,Validation,0.65,
Domenico Rossi,Domenico Rossi,Person,[Validation] 威尼斯建筑师。,Validation,1.0,
Domenico Valeriani,Domenico Valeriani,Person,[Validation] 威尼斯画家 (Perspectivist)。,Validation,1.0,
Domenico Viola,Domenico Viola,Person,[Validation] 那不勒斯画家。,Validation,1.0,
Domenico Zampieri,Domenichino,Person,[Validation] 多梅尼基诺。,Validation,0.57,Low_Similarity; 
Domenico da Isnello,Domenico da Isnello,Person,[Validation] 建筑师/工程师。,Validation,1.0,
Dominicans,Dominicans,Group,[Validation] 多明我会。,Validation,1.0,
"Dominici, Bernardo de",Bernardo De Dominici,Person,[Reconstruction] 那不勒斯传记作家。,Reconstruction,0.54,Low_Similarity; 
Alessandro Vittrici,Alessandro Vittrici,Person,[Disambiguation] 罗马主教/副总管 (Vicegerent)。,Disambiguation,1.0,
Alessandro Zen,Alessandro Zen,Person,[Validation] 威尼斯贵族。,Validation,1.0,
Alessandro de' Medici,Alessandro de' Medici (Duke of Florence),Person,[Disambiguation] 佛罗伦萨公爵。,Disambiguation,0.69,
"Alexander Hamilton, 10th Duke of Hamilton","Alexander Hamilton, 10th Duke of Hamilton",Person,[Full Name] 著名收藏家。,Full Name,1.0,
Alexander III,Alexander III (Pope),Person,[Disambiguation] 教皇亚历山大三世（常见于威尼斯历史画）。,Disambiguation,0.79,
Alexander Sauli,Alexander Sauli,Person,[Validation] 圣徒 (St. Alexander Sauli)。,Validation,1.0,
Alexander the Great,Alexander the Great,Person,[Validation] 历史人物。,Validation,1.0,
Alfonso Gesualdo,Alfonso Gesualdo,Person,[Validation] 枢机主教。,Validation,1.0,
Alfonso I d'Este,Alfonso I d'Este,Person,[Validation] 费拉拉公爵。,Validation,1.0,
Alfonso Pérez Sánchez,Alfonso E. Pérez Sánchez,Person,[Full Name] 艺术史学家 (普拉多博物馆馆长)。,Full Name,0.93,
Alfred Sensier,Alfred Sensier,Person,[Validation] 艺术评论家/传记作家。,Validation,1.0,
Alfredo Bardella,Alfredo Bardella,Person,[Validation] 人物。,Validation,1.0,
"Algarotti, Bonomo",Bonomo Algarotti,Person,[Reconstruction] 名字倒装复原。Francesco Algarotti 的父亲。,Reconstruction,0.55,Low_Similarity; 
Alice Binion,Alice Binion,Person,[Validation] 艺术史学家 (威尼斯画派专家)。,Validation,1.0,
Allan Hume,Allan Hume,Person,[Validation] 人物 (可能是收藏家或 Grand Tour 旅行者)。,Validation,1.0,
Allegory of Clemency,Allegory of Clemency,Work,[Validation] 寓意画主题。,Validation,1.0,
Allegory of Coral fishing,Allegory of Coral fishing,Work,[Validation] 雅格布·祖奇 (Jacopo Zucchi) 画作。,Validation,1.0,
Allegory of Divine Providence and Barberini Power,Allegory of Divine Providence and Barberini Power,Work,[Validation] 皮耶特罗·达·科尔托纳壁画。,Validation,1.0,
Allegory of Divine Wisdom,Allegory of Divine Wisdom,Work,[Validation] 安德烈亚·萨基壁画。,Validation,1.0,
Allegory of Fortune,Allegory of Fortune,Work,[Validation] 寓意画主题。,Validation,1.0,
Allegory of Rome,Allegory of Rome,Work,[Validation] 寓意画主题。,Validation,1.0,
Allegory of Venice,Allegory of Venice,Work,[Validation] 寓意画主题。,Validation,1.0,
Allegory of the Arts,Allegory of the Arts,Work,[Validation] 寓意画主题。,Validation,1.0,
Allegory of the Education of the Crown Prince of the Palatinate,Allegory of the Education of the Crown Prince,Work,[Validation] 寓意画主题。,Validation,0.83,
Aloysius Gonzaga,Aloysius Gonzaga,Person,[Validation] 圣路易吉·公撒格。,Validation,1.0,
Alps,Alps,Place,[Validation] 地名。,Validation,1.0,
Altar Paintings for the Parish Church of San Canciano,Altar Paintings (San Canciano),Work,[Validation] 祭坛画组。,Validation,0.67,
Altar of Friendship,Altar of Friendship,Work,[Validation] 纪念碑/画作主题。,Validation,1.0,
Altar of Tranquility and Rural Life,Altar of Tranquility and Rural Life,Work,[Validation] 纪念碑/画作主题。,Validation,1.0,
Altar of Wealth and Apollo,Altar of Wealth and Apollo,Work,[Validation] 纪念碑/画作主题。,Validation,1.0,
Altarpiece for Chiesa Nuova,Altarpiece for Chiesa Nuova,Work,[Validation] 祭坛画（可能是鲁本斯）。,Validation,1.0,
Altarpiece for Santa Maria dei Cappuccini,Altarpiece for Santa Maria dei Cappuccini,Work,[Validation] 祭坛画。,Validation,1.0,
Altarpiece for St. Sebastian,Altarpiece for St. Sebastian,Work,[Validation] 祭坛画。,Validation,1.0,
Altarpiece for the Augustinian Church,Altarpiece for the Augustinian Church,Work,[Validation] 祭坛画。,Validation,1.0,
Altarpieces for the Royal Chapel,Altarpieces for the Royal Chapel,Work,[Validation] 祭坛画组。,Validation,1.0,
Alte Pinakothek,Alte Pinakothek,Place,[Validation] 慕尼黑老绘画陈列馆。,Validation,1.0,
Altero Matteoli,Altero Matteoli,Person,[Context] 现代意大利政治家/部长（可能出现在参考文献中）。,Context,1.0,
Alticchiero (Querini villa),Villa Altichiero,Place,[Validation] 威尼斯Querini家族别墅。,Validation,0.47,Low_Similarity; 
Altieri,Altieri (Family),Person/Group,[Category Fix] 误标为 Place。指家族或 Palazzo。,Category Fix,0.61,
Altieri palace,Palazzo Altieri,Place,[Validation] 罗马宫殿。,Validation,0.48,Low_Similarity; 
"Altieri, Don Gasparo",Gasparo Altieri,Person,[Reconstruction] 名字倒装复原。,Reconstruction,0.4,Low_Similarity; 
"Altieri, Emilio (Pope Clement X)",Clement X,Person,[Disambiguation] 教皇克莱门特十世。,Disambiguation,0.44,
Alvise Mocenigo,Alvise Mocenigo,Person,[Validation] 威尼斯总督/贵族（需具体上下文区分几世）。,Validation,1.0,
Alvise Pisani,Alvise Pisani,Person,[Validation] 威尼斯总督/贵族。,Validation,1.0,
Amadeo Swajer,Amadeo Svajer,Person,[OCR Fix/Standardization] 威尼斯收藏家 (Svajer)。,OCR Fix/Standardization,0.92,
Amalfi,Amalfi,Place,[Validation] 地名。,Validation,1.0,
Amalia Mezzetti,Amalia Mezzetti,Person,[Validation] 艺术史学家。,Validation,1.0,
Ambroise Dubois,Ambroise Dubois,Person,[Validation] 画家 (枫丹白露画派)。,Validation,1.0,
